key_indicators
enrol_tot
enrol_lower_tot
enrol_upper_tot
enrol_tot_f
enrol_lower_tot_m
enrol_PTR_tot
enrol_PTR_tot_f
enrol_PTR_tot_lower
enrol_PTR_tot_upper
rr_tot
rr_lower_pri
rr_upper_pri
rr_tot_f
rr_tot_m
dr_tot
dr_lower_pri
dr_upper_pri
dr_tot_f
dr_tot_m
abs_rate_tot_dov
abs_rate_tot_f_dov
abs_rate_tot_m_dov
abs_rate_upper_dov
abs_rate_lower_dov
EnglishTotal_Percent
MathsTotal_Percent
ChichewaTotal_Percent
Total_percent
EnglishTotal_Percent_m
MathsTotal_Percent_m
ChichewaTotal_Percent_m
EnglishTotal_Percent_f
MathsTotal_Percent_f
ChichewaTotal_Percent_f
Total_percent_m
Total_percent_f
